#bin	swScore	milliDiv	milliDel	milliIns	genoName	genoStart	genoEnd	genoLeft	strand	repName	repClass	repFamily	repStart	repEnd	repLeft	id
978	467	389	37	26	chr6	51555509	51555781	-29086469	-	L2	LINE	L2	-498	2816	2542	5
978	1096	142	11	0	chr6	51555790	51555966	-29086284	+	SINEC_a1	SINE	Lys	1	178	-1	5
978	701	209	31	36	chr6	51556516	51556710	-29085540	-	L1MA9	LINE	L1	0	6312	6120	5
978	598	0	39	0	chr6	51557190	51557267	-29084983	+	(TAAAA)n	Simple_repeat	Simple_repeat	2	81	0	5
978	23	68	0	0	chr6	51557353	51557397	-29084853	+	AT_rich	Low_complexity	Low_complexity	1	44	0	5
978	283	343	166	5	chr6	51557525	51557742	-29084508	-	MIR	SINE	MIR	-2	260	9	5
978	492	250	48	72	chr6	51558932	51559139	-29083111	-	L2	LINE	L2	-18	3401	3200	5
978	563	283	17	23	chr6	51559168	51559431	-29082819	+	MLT2E	LTR	ERVL	288	621	-7	5
978	208	340	57	75	chr6	51559436	51559595	-29082655	+	L2	LINE	L2	2662	2817	-497	5
978	442	362	62	27	chr6	51559664	51560014	-29082236	+	L2	LINE	L2	3021	3419	0	5
978	1322	254	131	24	chr6	51560046	51560550	-29081700	-	MLT1F2	LTR	MaLR	-4	558	1	5
978	1134	127	20	73	chr6	51560747	51560951	-29081299	+	SINEC_b1	SINE	Lys	1	193	-1	5
978	408	353	8	0	chr6	51561431	51561550	-29080700	-	MIR3	SINE	MIR	-44	164	45	5
978	182	366	85	18	chr6	51561745	51561909	-29080341	-	L2	LINE	L2	-261	3117	2943	5
978	180	0	0	0	chr6	51562741	51562761	-29079489	+	(A)n	Simple_repeat	Simple_repeat	1	20	0	5
978	209	289	200	32	chr6	51562878	51563003	-29079247	-	MIRb	SINE	MIR	-119	149	4	5
978	22	0	0	0	chr6	51564527	51564549	-29077701	+	AT_rich	Low_complexity	Low_complexity	1	22	0	5
978	237	143	41	0	chr6	51564568	51564617	-29077633	-	MER103	DNA	DNA	-50	116	66	5
978	905	148	22	167	chr6	51564854	51565081	-29077169	+	SINEC_b2	SINE	Lys	1	194	0	5
978	21	0	0	0	chr6	51566561	51566582	-29075668	+	AT_rich	Low_complexity	Low_complexity	1	21	0	5
978	186	43	0	0	chr6	51567917	51567940	-29074310	+	(A)n	Simple_repeat	Simple_repeat	1	23	0	5
978	1353	52	0	17	chr6	51568017	51568034	-29074216	-	SINEC_Cf	SINE	Lys	-14	175	159	5
978	542	28	14	0	chr6	51568034	51568106	-29074144	+	(TTTA)n	Simple_repeat	Simple_repeat	4	76	0	5
978	1353	52	0	17	chr6	51568106	51568266	-29073984	-	SINEC_Cf	SINE	Lys	-31	158	1	5
978	660	243	99	104	chr6	51569583	51569987	-29072263	+	CarERV4b_LTR	LTR	ERV1	15	422	-40	5
978	938	119	98	24	chr6	51570377	51570541	-29071709	+	SINEC_b1	SINE	Lys	1	176	-18	5
978	702	0	0	0	chr6	51570544	51570622	-29071628	+	(GAAA)n	Simple_repeat	Simple_repeat	1	78	0	5
978	2135	208	24	30	chr6	51571833	51572295	-29069955	-	MER82	DNA	MER2_type	-193	460	2	5
978	409	284	6	30	chr6	51572295	51572462	-29069788	+	L1M5	LINE	L1	2478	2640	-3506	5
978	979	255	49	19	chr6	51572461	51572785	-29069465	+	L1MC4	LINE	L1	7396	7729	-313	5
978	727	235	33	106	chr6	51572788	51573155	-29069095	+	L1MC4	LINE	L1	7698	8037	-5	5
978	435	214	0	0	chr6	51573470	51573554	-29068696	-	MER82	DNA	MER2_type	-568	85	2	5
978	295	353	90	0	chr6	51574065	51574198	-29068052	+	L2	LINE	L2	3234	3378	0	5
978	769	201	20	50	chr6	51574278	51574477	-29067773	-	SINEC_b1	SINE	Lys	-1	193	1	5
978	291	374	89	17	chr6	51575698	51575989	-29066261	-	L3	LINE	CR1	-191	4311	4000	5
978	1031	165	25	142	chr6	51576129	51576454	-29065796	-	L1MA9	LINE	L1	-90	6222	5936	5
978	1250	125	0	0	chr6	51576469	51576645	-29065605	-	SINEC_a2	SINE	Lys	-3	176	1	5
978	1017	184	80	25	chr6	51576673	51576874	-29065376	+	SINEC_c2	SINE	Lys	1	212	0	5
978	1071	150	23	0	chr6	51577023	51577196	-29065054	-	SINEC_a1	SINE	Lys	-2	177	1	5
978	263	308	7	78	chr6	51577219	51577360	-29064890	-	L3	LINE	CR1	-890	3612	3482	5
978	257	0	30	0	chr6	51577464	51577497	-29064753	+	(CAAAAA)n	Simple_repeat	Simple_repeat	3	36	0	5
978	328	319	65	29	chr6	51577583	51577722	-29064528	-	MLT1J1	LTR	MaLR	-133	313	170	5
978	367	270	147	75	chr6	51579212	51579464	-29062786	+	L1ME3A	LINE	L1	5435	5704	-466	5
978	551	309	56	45	chr6	51579707	51579901	-29062349	+	L1ME3A	LINE	L1	5706	5903	-267	5
978	1199	104	0	11	chr6	51579901	51580076	-29062174	+	SINEC_a2	SINE	Lys	1	173	-6	5
978	475	96	12	12	chr6	51580076	51580160	-29062090	+	(TA)n	Simple_repeat	Simple_repeat	2	85	0	5
978	551	309	56	45	chr6	51580160	51580323	-29061927	+	L1ME3A	LINE	L1	5904	6068	-102	5
978	956	104	81	52	chr6	51580452	51580625	-29061625	-	SINEC_a2	SINE	Lys	-1	178	1	5
978	264	59	0	0	chr6	51581823	51581857	-29060393	+	(TTA)n	Simple_repeat	Simple_repeat	2	35	0	5
978	245	263	184	56	chr6	51581969	51582148	-29060102	+	MIRb	SINE	MIR	41	255	-7	5
978	333	0	0	0	chr6	51582946	51582983	-29059267	+	(TTTA)n	Simple_repeat	Simple_repeat	2	38	0	5
978	437	95	0	87	chr6	51582992	51583084	-29059166	-	SINEC_b2	SINE	Lys	-28	166	83	5
978	890	131	14	0	chr6	51583429	51583574	-29058676	+	SINEC_a1	SINE	Lys	2	148	-31	5
978	378	0	0	0	chr6	51583576	51583618	-29058632	+	(TAAA)n	Simple_repeat	Simple_repeat	4	45	0	5
978	318	331	106	19	chr6	51584146	51584306	-29057944	-	MIRb	SINE	MIR	-17	251	78	5
978	974	103	7	7	chr6	51584328	51584474	-29057776	+	SINEC_Cf3	SINE	Lys	2	147	-33	5
978	477	0	0	0	chr6	51584474	51584527	-29057723	+	(TAAA)n	Simple_repeat	Simple_repeat	4	56	0	5
978	754	200	41	14	chr6	51584731	51584878	-29057372	+	SINEC_c2	SINE	Lys	1	151	-61	5
978	288	0	0	0	chr6	51584878	51584910	-29057340	+	(TAAA)n	Simple_repeat	Simple_repeat	2	33	0	5
978	21	0	0	0	chr6	51584912	51584933	-29057317	+	AT_rich	Low_complexity	Low_complexity	1	21	0	5
978	738	213	247	84	chr6	51584949	51585293	-29056957	+	L1MEc	LINE	L1	45	444	-5956	5
978	3095	212	149	19	chr6	51585367	51586384	-29055866	+	L1MEc	LINE	L1	634	1783	-4617	5
978	1098	182	5	32	chr6	51586384	51586600	-29055650	+	SINEC_c2	SINE	Lys	1	210	-2	5
978	23	0	0	0	chr6	51586649	51586672	-29055578	+	AT_rich	Low_complexity	Low_complexity	1	23	0	5
978	462	235	63	63	chr6	51586690	51586817	-29055433	+	MIR	SINE	MIR	63	189	-73	5
978	216	97	0	0	chr6	51587135	51587166	-29055084	+	(A)n	Simple_repeat	Simple_repeat	1	31	0	5
978	1330	74	6	0	chr6	51587361	51587536	-29054714	+	SINEC_Cf2	SINE	Lys	3	178	-2	5
978	1303	84	0	33	chr6	51587856	51588040	-29054210	+	SINEC_Cf3	SINE	Lys	1	178	-2	5
978	877	197	4	110	chr6	51589030	51589258	-29052992	+	SINEC_c2	SINE	Lys	1	204	-8	5
978	1321	9	30	3	chr6	51589306	51589636	-29052614	+	(GAAA)n	Simple_repeat	Simple_repeat	1	339	0	5
978	783	170	102	6	chr6	51589648	51589814	-29052436	+	SINEC_b2	SINE	Lys	2	183	-11	5
978	1031	128	0	11	chr6	51589826	51590000	-29052250	+	(GAAA)n	Simple_repeat	Simple_repeat	1	172	0	5
978	246	62	0	0	chr6	51590517	51590549	-29051701	+	(GA)n	Simple_repeat	Simple_repeat	1	32	0	5
978	223	359	162	0	chr6	51590884	51591001	-29051249	-	L2	LINE	L2	-3	3375	3240	5
978	524	294	82	67	chr6	51591130	51591338	-29050912	+	MIR	SINE	MIR	47	257	-5	5
978	190	338	111	34	chr6	51591364	51591600	-29050650	-	L2	LINE	L2	-265	3113	2736	5
978	747	170	0	98	chr6	51591638	51591821	-29050429	-	SINEC_b1	SINE	Lys	-29	165	1	5
978	1012	200	45	10	chr6	51591863	51592065	-29050185	-	SINEC_c2	SINE	Lys	-3	209	1	5
978	312	27	0	0	chr6	51592120	51592157	-29050093	+	(TA)n	Simple_repeat	Simple_repeat	2	38	0	5
978	261	57	0	0	chr6	51592163	51592198	-29050052	+	(TTTA)n	Simple_repeat	Simple_repeat	2	36	0	5
978	550	248	85	8	chr6	51592198	51592328	-29049922	-	SINEC_b1	SINE	Lys	-54	140	1	5
978	1958	188	6	6	chr6	51592669	51593027	-29049223	-	MLT1B	LTR	MaLR	-2	388	31	5
978	436	336	40	138	chr6	51593051	51593472	-29048778	-	L2	LINE	L2	-971	2343	1964	5
978	204	398	8	16	chr6	51593583	51593602	-29048648	-	L2	LINE	L2	0	3419	3400	5
978	595	207	0	9	chr6	51593602	51593714	-29048536	-	SINEC_old	SINE	Lys	-1	111	1	5
978	204	398	8	16	chr6	51593714	51593819	-29048431	-	L2	LINE	L2	-20	3399	3296	5
978	326	325	102	60	chr6	51594125	51594341	-29047909	-	L2	LINE	L2	-520	2794	2570	5
978	189	0	0	0	chr6	51594653	51594674	-29047576	+	(A)n	Simple_repeat	Simple_repeat	1	21	0	5
978	4235	126	39	18	chr6	51595151	51595861	-29046389	+	L1_Canid	LINE	L1	5717	6441	-10	5
978	221	364	33	33	chr6	51596604	51596817	-29045433	-	L2	LINE	L2	-1402	1912	1700	5
978	622	252	203	49	chr6	51598613	51599092	-29043158	-	MLT1G	LTR	MaLR	-4	586	13	5
978	1205	84	60	0	chr6	51599098	51599264	-29042986	-	SINEC_a1	SINE	Lys	-2	177	2	5
978	1426	171	15	42	chr6	51599319	51599649	-29042601	+	L1MA10	LINE	L1	6014	6334	0	5
978	593	372	99	7	chr6	51599872	51600275	-29041975	+	L4	LINE	RTE	1521	1960	0	5
978	198	0	0	0	chr6	51600538	51600560	-29041690	+	(A)n	Simple_repeat	Simple_repeat	1	22	0	5
978	558	200	9	0	chr6	51601023	51601133	-29041117	-	SINEC_old	SINE	Lys	0	112	2	5
978	203	299	30	0	chr6	51601423	51601490	-29040760	-	MIR	SINE	MIR	-10	252	184	5
978	201	186	0	23	chr6	51601765	51601809	-29040441	+	T-rich	Low_complexity	Low_complexity	5	47	0	5
978	342	343	55	27	chr6	51602162	51602381	-29039869	+	MIR	SINE	MIR	8	232	-30	5
978	22	0	0	0	chr6	51602490	51602512	-29039738	+	AT_rich	Low_complexity	Low_complexity	1	22	0	5
978	846	274	25	8	chr6	51602964	51603200	-29039050	-	MIR	SINE	MIR	-14	248	9	5
978	777	349	106	33	chr6	51604482	51605259	-29036991	-	L2	LINE	L2	-3	3416	2476	5
978	189	0	0	0	chr6	51605310	51605331	-29036919	+	(CAA)n	Simple_repeat	Simple_repeat	1	21	0	5
978	898	9	18	0	chr6	51605336	51605447	-29036803	+	(GAAA)n	Simple_repeat	Simple_repeat	2	114	0	5
978	234	0	0	0	chr6	51605544	51605570	-29036680	+	(A)n	Simple_repeat	Simple_repeat	1	26	0	5
978	402	366	47	26	chr6	51606074	51606265	-29035985	+	L4	LINE	RTE	1428	1622	-338	5
978	1141	95	5	96	chr6	51606450	51606648	-29035602	+	SINEC_Cf3	SINE	Lys	1	180	0	6
978	279	333	32	0	chr6	51606791	51606884	-29035366	+	MIR3	SINE	MIR	92	187	-21	6
978	237	367	26	52	chr6	51608873	51608988	-29033262	-	MER5A	DNA	MER1_type	-14	175	64	6
978	21	82	0	0	chr6	51608991	51609040	-29033210	+	AT_rich	Low_complexity	Low_complexity	1	49	0	6
978	2271	249	96	31	chr6	51609069	51609740	-29032510	+	L1M5	LINE	L1	2335	3049	-3097	6
978	729	159	276	0	chr6	51609740	51609903	-29032347	+	SINEC_c1	SINE	Lys	1	208	-1	6
978	2271	249	96	31	chr6	51609903	51610120	-29032130	+	L1M5	LINE	L1	3050	3280	-2866	6
978	22	0	0	0	chr6	51610913	51610935	-29031315	+	AT_rich	Low_complexity	Low_complexity	1	22	0	6
978	211	194	0	0	chr6	51611201	51611237	-29031013	+	GA-rich	Low_complexity	Low_complexity	2	37	0	6
978	592	176	9	9	chr6	51611974	51612083	-29030167	-	SINEC_old	SINE	Lys	-3	109	1	6
978	21	36	0	0	chr6	51612933	51612961	-29029289	+	AT_rich	Low_complexity	Low_complexity	1	28	0	6
978	1989	245	58	56	chr6	51613151	51613773	-29028477	-	MLT1E3	LTR	MaLR	0	624	2	6
978	524	203	2	76	chr6	51613810	51613953	-29028297	-	SINEC_c1	SINE	Lys	0	214	85	6
978	1404	57	0	11	chr6	51614273	51614452	-29027798	+	SINEC_Cf3	SINE	Lys	1	177	-3	6
978	206	175	0	81	chr6	51614453	51614515	-29027735	+	A-rich	Low_complexity	Low_complexity	1	57	0	6
978	208	341	11	56	chr6	51615201	51615291	-29026959	+	L4	LINE	RTE	356	441	-1519	6
978	4400	137	24	4	chr6	51615484	51616195	-29026055	+	CarERV2d2_LTR	LTR	ERV1	1	725	-1	6
978	837	223	52	23	chr6	51616463	51616787	-29025463	-	MER21B	LTR	ERV1	-85	778	408	6
978	986	244	144	81	chr6	51617415	51617811	-29024439	-	MER21B	LTR	ERV1	-431	432	12	6
978	260	149	75	0	chr6	51618929	51618996	-29023254	-	L1_Canis1	LINE	L1	-3	6422	6351	6
978	186	43	0	0	chr6	51619225	51619248	-29023002	+	(TTTAG)n	Simple_repeat	Simple_repeat	3	25	0	6
978	341	271	38	30	chr6	51621073	51621206	-29021044	+	MER94	DNA	AcHobo	1	134	0	6
978	576	190	24	32	chr6	51621410	51621535	-29020715	-	L2	LINE	L2	0	3419	3296	6
978	346	298	16	55	chr6	51621549	51621677	-29020573	-	MIR	SINE	MIR	0	262	140	6
978	21	0	0	0	chr6	51622028	51622049	-29020201	+	AT_rich	Low_complexity	Low_complexity	1	21	0	6
978	1576	274	55	31	chr6	51622123	51622426	-29019824	+	L1M4	LINE	L1	3802	4112	-2034	6
978	1468	49	33	0	chr6	51622426	51622609	-29019641	-	SINEC_Cf	SINE	Lys	0	189	1	6
978	1576	274	55	31	chr6	51622609	51623057	-29019193	+	L1M4	LINE	L1	4113	4571	-1575	6
978	686	270	89	13	chr6	51623627	51623931	-29018319	+	L1M4	LINE	L1	4557	4883	-1263	6
978	387	296	13	47	chr6	51623996	51624145	-29018105	+	L1MDa	LINE	L1	166	309	-6324	6
978	255	156	3	0	chr6	51624193	51624246	-29018004	-	L1MDa	LINE	L1	-5154	1348	1297	6
978	267	103	0	0	chr6	51624343	51624382	-29017868	+	(TTTG)n	Simple_repeat	Simple_repeat	2	40	0	6
978	713	319	35	0	chr6	51624668	51624900	-29017350	-	MIR	SINE	MIR	-7	255	16	6
978	29	0	0	0	chr6	51624959	51624988	-29017262	+	AT_rich	Low_complexity	Low_complexity	1	29	0	6
978	353	323	84	21	chr6	51625132	51625322	-29016928	-	MIRb	SINE	MIR	-57	211	10	6
978	25	31	0	0	chr6	51625895	51625927	-29016323	+	AT_rich	Low_complexity	Low_complexity	1	32	0	6
978	460	331	17	63	chr6	51626020	51626241	-29016009	+	MIRb	SINE	MIR	48	255	-7	6
978	791	349	89	61	chr6	51626423	51627194	-29015056	+	L3	LINE	CR1	3600	4392	-110	6
978	196	359	21	11	chr6	51627472	51627565	-29014685	-	MIRb	SINE	MIR	-2	266	173	6
978	250	330	0	0	chr6	51629067	51629167	-29013083	+	L1M5	LINE	L1	5710	5809	-353	6
978	295	314	56	28	chr6	51629442	51629550	-29012700	+	L1ME3B	LINE	L1	5600	5710	-530	6
978	402	293	30	78	chr6	51629593	51629863	-29012387	+	L1ME3B	LINE	L1	5806	6062	-178	6
978	183	42	0	0	chr6	51629913	51629937	-29012313	+	(TA)n	Simple_repeat	Simple_repeat	1	24	0	6
978	246	105	0	0	chr6	51630361	51630399	-29011851	+	(A)n	Simple_repeat	Simple_repeat	1	38	0	6
978	532	323	10	41	chr6	51630795	51630989	-29011261	+	MIR	SINE	MIR	40	227	-35	6
978	561	318	89	18	chr6	51630985	51631267	-29010983	+	L2	LINE	L2	3098	3399	-20	6
978	1522	22	27	5	chr6	51632218	51632403	-29009847	+	SINEC_Cf	SINE	Lys	1	189	0	6
978	820	191	91	20	chr6	51632438	51632636	-29009614	+	SINEC_c2	SINE	Lys	1	212	0	6
978	1457	70	0	0	chr6	51632904	51633090	-29009160	+	SINEC_Cf	SINE	Lys	1	186	-3	6
978	23	0	0	0	chr6	51633428	51633451	-29008799	+	AT_rich	Low_complexity	Low_complexity	1	23	0	6
978	258	33	0	0	chr6	51633801	51633831	-29008419	+	U6	snRNA	snRNA	2	31	-76	6
978	889	209	187	91	chr6	51635077	51635504	-29006746	-	MER110A	LTR	ERV1	0	468	1	6
978	697	290	65	14	chr6	51635993	51636210	-29006040	+	MIR	SINE	MIR	1	228	-34	6
978	1244	243	59	6	chr6	51636210	51636533	-29005717	+	MER58B	DNA	MER1_type	2	341	0	6
978	433	314	40	73	chr6	51636537	51636812	-29005438	+	LTR16A1	LTR	ERVL	4	269	-188	6
978	413	322	71	68	chr6	51637424	51637600	-29004650	+	MIR3	SINE	MIR	32	204	-4	6
978	839	179	77	14	chr6	51638246	51638432	-29003818	+	SINEC_b1	SINE	Lys	1	209	0	6
978	357	185	13	134	chr6	51638437	51638589	-29003661	+	SINEC_b2	SINE	Lys	56	212	0	6
978	39	0	0	0	chr6	51638874	51638913	-29003337	+	AT_rich	Low_complexity	Low_complexity	1	39	0	6
978	3169	6	0	0	chr6	51639593	51639951	-29002299	+	L1_Cf	LINE	L1	1930	2287	-4100	6
978	7180	48	6	2	chr6	51640831	51641886	-29000364	-	L1_Canis1	LINE	L1	-20	6405	5343	6
978	347	315	46	9	chr6	51641886	51641995	-29000255	+	MIRb	SINE	MIR	98	210	-58	6
122	303	353	0	0	chr6	51642259	51642375	-28999875	-	MIR	SINE	MIR	0	262	147	6
979	213	279	8	119	chr6	51647143	51647261	-28994989	+	MIRb	SINE	MIR	112	216	-52	6
979	183	373	113	54	chr6	51647576	51647780	-28994470	-	L3b	LINE	CR1	-243	4265	4050	6
979	23	0	0	0	chr6	51647982	51648005	-28994245	+	AT_rich	Low_complexity	Low_complexity	1	23	0	6
979	617	118	465	0	chr6	51648161	51648305	-28993945	-	SINEC_c2	SINE	Lys	0	212	2	6
979	216	0	0	0	chr6	51648728	51648752	-28993498	+	(CA)n	Simple_repeat	Simple_repeat	2	25	0	6
979	408	315	137	34	chr6	51649000	51649263	-28992987	+	HAL1	LINE	L1	2198	2487	-20	6
979	482	193	9	35	chr6	51649268	51649381	-28992869	-	SINEC_old	SINE	Lys	-2	110	1	6
979	258	247	22	44	chr6	51649430	51649612	-28992638	+	(TTATA)n	Simple_repeat	Simple_repeat	1	178	0	6
979	509	332	35	35	chr6	51649740	51649971	-28992279	+	MIRb	SINE	MIR	38	268	0	6
979	360	342	158	59	chr6	51650237	51650712	-28991538	-	L2	LINE	L2	-527	2787	2266	6
979	778	192	28	28	chr6	51650743	51650925	-28991325	+	SINEC_c2	SINE	Lys	1	182	-30	6
979	391	63	16	16	chr6	51650926	51650990	-28991260	+	(TAAA)n	Simple_repeat	Simple_repeat	2	65	0	6
979	31	0	0	0	chr6	51651735	51651766	-28990484	+	AT_rich	Low_complexity	Low_complexity	1	31	0	6
979	198	0	0	0	chr6	51652632	51652654	-28989596	+	(CAAAAA)n	Simple_repeat	Simple_repeat	3	24	0	6
979	879	79	155	95	chr6	51653207	51653375	-28988875	+	SINEC_a1	SINE	Lys	2	179	0	6
979	358	296	119	25	chr6	51653671	51653872	-28988378	+	MIR	SINE	MIR	28	247	-15	6
979	1121	110	35	0	chr6	51654929	51655102	-28987148	-	SINEC_a1	SINE	Lys	0	179	1	6
979	1415	44	22	0	chr6	51655754	51655937	-28986313	+	SINEC_Cf	SINE	Lys	1	187	-2	6
979	543	254	158	17	chr6	51656100	51656337	-28985913	-	MIR	SINE	MIR	-13	249	4	6
979	327	248	151	20	chr6	51657046	51657198	-28985052	-	MER112	DNA	MER1_type	-9	252	81	6
979	1569	184	82	12	chr6	51657867	51658208	-28984042	+	MLT1A0	LTR	MaLR	1	365	0	6
979	1663	278	225	21	chr6	51658913	51659763	-28982487	+	L2	LINE	L2	1132	2154	-1160	6
979	524	315	261	21	chr6	51659780	51660201	-28982049	+	MER69B	DNA	Tip100	18	540	-686	6
979	718	221	82	6	chr6	51660201	51660360	-28981890	+	SINEC_c2	SINE	Lys	1	171	-41	6
979	242	0	0	57	chr6	51660362	51660397	-28981853	+	(TAAA)n	Simple_repeat	Simple_repeat	4	36	0	6
979	631	239	222	25	chr6	51660402	51660681	-28981569	+	MER69B	DNA	Tip100	533	2280	-360	6
979	1708	291	113	48	chr6	51660907	51661811	-28980439	+	L2	LINE	L2	2136	3187	-232	6
979	954	113	19	12	chr6	51661811	51661972	-28980278	-	SINEC_a2	SINE	Lys	-17	162	1	6
979	302	299	93	151	chr6	51661972	51662082	-28980168	+	L2	LINE	L2	3188	3290	-129	6
979	314	264	11	21	chr6	51662318	51662411	-28979839	-	L2	LINE	L2	-1	3418	3327	6
979	25	65	0	0	chr6	51662552	51662598	-28979652	+	AT_rich	Low_complexity	Low_complexity	1	46	0	6
979	899	303	32	67	chr6	51662598	51663305	-28978945	+	L1M5	LINE	L1	4490	5172	-974	6
979	328	361	29	104	chr6	51663332	51663664	-28978586	+	HAL1	LINE	L1	240	547	-1960	6
979	957	138	114	11	chr6	51663664	51663840	-28978410	+	SINEC_b2	SINE	Lys	1	194	0	6
979	328	361	29	104	chr6	51663840	51663989	-28978261	+	HAL1	LINE	L1	548	685	-1822	6
979	336	280	58	155	chr6	51664120	51664169	-28978081	+	HAL1	LINE	L1	845	889	-1618	6
979	207	0	0	0	chr6	51664169	51664192	-28978058	+	(GA)n	Simple_repeat	Simple_repeat	2	24	0	6
979	336	280	58	155	chr6	51664192	51664400	-28977850	+	HAL1	LINE	L1	890	1077	-1430	6
979	934	289	30	36	chr6	51664454	51664988	-28977262	+	HAL1	LINE	L1	1073	1603	-904	6
979	426	259	26	0	chr6	51665026	51665142	-28977108	+	HAL1	LINE	L1	1682	1800	-707	6
979	22	0	0	0	chr6	51665274	51665296	-28976954	+	AT_rich	Low_complexity	Low_complexity	1	22	0	6
979	685	161	0	0	chr6	51665301	51665413	-28976837	-	SINEC_old	SINE	Lys	0	112	1	6
979	371	262	28	25	chr6	51665703	51665842	-28976408	+	L1ME3B	LINE	L1	4060	4201	-1945	6
979	1155	92	34	17	chr6	51666265	51666442	-28975808	+	SINEC_Cf2	SINE	Lys	1	180	0	6
979	386	239	123	62	chr6	51666451	51666808	-28975442	+	L1ME3B	LINE	L1	4242	4620	-1526	6
979	3957	206	40	6	chr6	51666838	51668289	-28973961	-	L1MD1	LINE	L1	-17	6225	4719	6
979	594	221	7	44	chr6	51668295	51668465	-28973785	-	L1MD	LINE	L1	-1884	4262	4101	6
979	590	286	138	59	chr6	51668581	51669044	-28973206	+	L1ME3B	LINE	L1	5599	6100	-140	6
979	969	115	97	65	chr6	51669044	51669230	-28973020	+	SINEC_b1	SINE	Lys	1	192	-2	6
979	189	0	0	0	chr6	51669230	51669251	-28972999	+	(GA)n	Simple_repeat	Simple_repeat	2	22	0	6
979	590	286	138	59	chr6	51669251	51669328	-28972922	+	L1ME3B	LINE	L1	6101	6183	-57	6
979	349	339	42	25	chr6	51670562	51670680	-28971570	+	L2	LINE	L2	3257	3376	-2	6
979	30	0	0	0	chr6	51670738	51670768	-28971482	+	AT_rich	Low_complexity	Low_complexity	1	30	0	6
